"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 18:32:27 GMT 2025","Thu Sep 25 18:32:31 GMT 2025","4343","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","recentActivity_list_isVisible_andHasItems","should display the list of recent activities",""
"passed","Thu Sep 25 18:32:22 GMT 2025","Thu Sep 25 18:32:27 GMT 2025","5090","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","addCandidate_quickAction_opensModal","should open the ""Add Candidate"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 18:32:18 GMT 2025","Thu Sep 25 18:32:18 GMT 2025","463","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Thu Sep 25 18:36:41 GMT 2025","Thu Sep 25 18:36:50 GMT 2025","8876","","Settings tests UI","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Thu Sep 25 18:32:25 GMT 2025","Thu Sep 25 18:32:26 GMT 2025","953","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestName","Редактирование теста: изменение названия",""
"passed","Thu Sep 25 18:36:25 GMT 2025","Thu Sep 25 18:36:40 GMT 2025","14755","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","closeAddCandidateModal","Проверка закрытия модалки 'Добавить кандидата'",""
"passed","Thu Sep 25 18:36:50 GMT 2025","Thu Sep 25 18:36:58 GMT 2025","8149","","Settings tests UI","","tests.settings.SettingsTests","resetPassword","Reset password",""
"passed","Thu Sep 25 18:37:07 GMT 2025","Thu Sep 25 18:37:15 GMT 2025","7644","","Settings tests UI","","tests.settings.SettingsTests","createUser","Create user",""
"passed","Thu Sep 25 18:32:24 GMT 2025","Thu Sep 25 18:32:24 GMT 2025","492","","Создание теста через API","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Позитивный сценарий: успешное создание теста",""
"passed","Thu Sep 25 18:32:18 GMT 2025","Thu Sep 25 18:32:19 GMT 2025","502","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Thu Sep 25 18:35:22 GMT 2025","Thu Sep 25 18:35:38 GMT 2025","15568","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Thu Sep 25 18:32:23 GMT 2025","Thu Sep 25 18:32:24 GMT 2025","965","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
"failed","Thu Sep 25 18:32:56 GMT 2025","Thu Sep 25 18:33:21 GMT 2025","25654","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"passed","Thu Sep 25 18:32:36 GMT 2025","Thu Sep 25 18:32:40 GMT 2025","4307","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
"passed","Thu Sep 25 18:32:20 GMT 2025","Thu Sep 25 18:32:20 GMT 2025","539","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Thu Sep 25 18:38:00 GMT 2025","Thu Sep 25 18:38:08 GMT 2025","7985","","Назначение теста кандидату через UI","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Назначение теста кандидату",""
"passed","Thu Sep 25 18:32:47 GMT 2025","Thu Sep 25 18:32:50 GMT 2025","3006","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Thu Sep 25 18:32:07 GMT 2025","Thu Sep 25 18:32:08 GMT 2025","1005","","Добавление вопросов через API","","tests.questiontests.QuestionsApiTests","createQuestion_success","Создание вопроса:проверка статуса 201 + схемы",""
"passed","Thu Sep 25 18:32:03 GMT 2025","Thu Sep 25 18:32:05 GMT 2025","2031","","Назначение теста кандидату через API","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
"passed","Thu Sep 25 18:32:38 GMT 2025","Thu Sep 25 18:32:41 GMT 2025","2938","","Block & unblock user (Settings(API)","","tests.users.UpdateUserActiveTests","block_then_unblock_returns200","Users: block & unblock",""
"passed","Thu Sep 25 18:32:01 GMT 2025","Thu Sep 25 18:32:02 GMT 2025","919","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"passed","Thu Sep 25 18:32:19 GMT 2025","Thu Sep 25 18:32:20 GMT 2025","466","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Thu Sep 25 18:34:51 GMT 2025","Thu Sep 25 18:35:07 GMT 2025","15480","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [1] MISSING_NAME",""
"passed","Thu Sep 25 18:37:51 GMT 2025","Thu Sep 25 18:37:56 GMT 2025","5238","","Создание теста через UI","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Создание теста с пустым именем показывает ошибку",""
"passed","Thu Sep 25 18:37:23 GMT 2025","Thu Sep 25 18:37:29 GMT 2025","5820","","Добавление вопроса через UI","","tests.managetests.AddQuestionUiTests","addQuestion_success","Добавление вопроса: валидные данные → вопрос создаётся",""
