"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 14:56:16 GMT 2025","Thu Sep 25 14:56:16 GMT 2025","421","","Создание теста через API","","tests.managetests.CreateTestApiTests","createTestWithoutName","Негативный сценарий: создание теста без имени",""
"failed","Thu Sep 25 14:56:50 GMT 2025","Thu Sep 25 14:57:17 GMT 2025","26355","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"passed","Thu Sep 25 15:01:30 GMT 2025","Thu Sep 25 15:01:34 GMT 2025","3890","","Создание теста через UI","","tests.managetests.CreateTestUiTests","createTest","Успешное создание теста с уникальным именем",""
"passed","Thu Sep 25 14:58:12 GMT 2025","Thu Sep 25 14:58:29 GMT 2025","17176","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidate","Проверка успешного добавления Кандидата",""
"passed","Thu Sep 25 14:56:10 GMT 2025","Thu Sep 25 14:56:11 GMT 2025","886","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"passed","Thu Sep 25 14:57:17 GMT 2025","Thu Sep 25 14:58:01 GMT 2025","44461","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","unsuccessfulBulkAssigningTests","Назначение тестов более 500 кандидатам с неуспешным результатом",""
"passed","Thu Sep 25 14:56:11 GMT 2025","Thu Sep 25 14:56:12 GMT 2025","876","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
"passed","Thu Sep 25 14:55:54 GMT 2025","Thu Sep 25 14:55:54 GMT 2025","510","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getRecentActivityListTest","Проверка получения списка недавней активности",""
"passed","Thu Sep 25 15:00:22 GMT 2025","Thu Sep 25 15:00:31 GMT 2025","9197","","tests.settings.SettingsTests","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Thu Sep 25 14:56:07 GMT 2025","Thu Sep 25 14:56:08 GMT 2025","410","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Thu Sep 25 14:58:02 GMT 2025","Thu Sep 25 14:58:11 GMT 2025","9366","","tests.candidates.CandidatesTests","","tests.candidates.CandidatesTests","checkButtonisV","checkButtonisV()",""
"passed","Thu Sep 25 14:56:12 GMT 2025","Thu Sep 25 14:56:13 GMT 2025","841","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
"passed","Thu Sep 25 14:56:14 GMT 2025","Thu Sep 25 14:56:15 GMT 2025","862","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestName","Редактирование теста: изменение названия",""
"passed","Thu Sep 25 15:00:57 GMT 2025","Thu Sep 25 15:01:05 GMT 2025","7958","","tests.settings.SettingsTests","","tests.settings.SettingsTests","deleteUser","Delete user",""
"passed","Thu Sep 25 14:55:57 GMT 2025","Thu Sep 25 14:55:58 GMT 2025","837","","Добавление вопросов через API","","tests.questiontests.QuestionsApiTests","createQuestion_missingTestId_400","Создание вопроса: 400 если отсутствует testId",""
"passed","Thu Sep 25 14:56:41 GMT 2025","Thu Sep 25 14:56:44 GMT 2025","3107","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Thu Sep 25 14:56:44 GMT 2025","Thu Sep 25 14:56:47 GMT 2025","2838","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"passed","Thu Sep 25 14:56:13 GMT 2025","Thu Sep 25 14:56:14 GMT 2025","865","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestIsActive","Редактирование теста: изменение активности",""
"passed","Thu Sep 25 15:01:34 GMT 2025","Thu Sep 25 15:01:42 GMT 2025","7950","","Назначение теста кандидату через UI","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Назначение теста кандидату",""
"passed","Thu Sep 25 14:56:08 GMT 2025","Thu Sep 25 14:56:08 GMT 2025","439","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Thu Sep 25 14:56:16 GMT 2025","Thu Sep 25 14:56:16 GMT 2025","431","","Создание теста через API","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"passed","Thu Sep 25 14:56:30 GMT 2025","Thu Sep 25 14:56:35 GMT 2025","4310","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
