"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Tests","","","1","0","12","0","0"
"","","","2","0","24","0","0"
"UI Tests","Auth","Успешный вход","0","0","1","0","0"
"UI Tests","Auth","Доступ к /dashboard без авторизации","0","0","1","0","0"
"UI Tests","Auth","Ошибки валидации при пустых/частично заполненных полях","0","0","1","0","0"
"UI Tests","","","1","0","12","0","0"
"Dashboard","UI","","0","0","4","0","0"
"UI Tests","Auth","Неверный пароль","0","0","1","0","0"
"Dashboard","","","0","0","2","0","0"
"UI Tests","Auth","Неверный email","0","0","1","0","0"
"UI Tests","Auth","Logout: защита после выхода","0","0","1","0","0"
