"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 14:29:51 GMT 2025","Wed Oct 01 14:29:52 GMT 2025","1077","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"passed","Wed Oct 01 14:30:07 GMT 2025","Wed Oct 01 14:30:08 GMT 2025","642","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Wed Oct 01 14:31:39 GMT 2025","Wed Oct 01 14:31:58 GMT 2025","19469","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidate","Проверка успешного добавления Кандидата",""
"passed","Wed Oct 01 14:30:15 GMT 2025","Wed Oct 01 14:30:16 GMT 2025","649","","Создание теста через API","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Позитивный сценарий: успешное создание теста",""
"passed","Wed Oct 01 14:30:24 GMT 2025","Wed Oct 01 14:30:27 GMT 2025","3060","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"passed","Wed Oct 01 14:34:33 GMT 2025","Wed Oct 01 14:34:43 GMT 2025","9506","","Settings tests UI","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Wed Oct 01 14:30:11 GMT 2025","Wed Oct 01 14:30:12 GMT 2025","1310","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"passed","Wed Oct 01 14:30:30 GMT 2025","Wed Oct 01 14:30:33 GMT 2025","3217","","Update user role (Settings(API)","","tests.users.UpdateUserRoleTests","updateRole_returns200","Users: update role",""
"passed","Wed Oct 01 14:34:25 GMT 2025","Wed Oct 01 14:34:33 GMT 2025","8254","","Settings tests UI","","tests.settings.SettingsTests","resetPassword","Reset password",""
"passed","Wed Oct 01 14:30:12 GMT 2025","Wed Oct 01 14:30:14 GMT 2025","1275","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
"passed","Wed Oct 01 14:30:17 GMT 2025","Wed Oct 01 14:30:18 GMT 2025","1277","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestName","Редактирование теста: изменение названия",""
