"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 06 18:03:57 UTC 2025","Mon Oct 06 18:03:59 UTC 2025","2290","","Reset user password (Settings(API)","","tests.users.ResetUserPasswordTests","resetPassword_returns200","Users: reset password",""
"passed","Mon Oct 06 18:04:06 UTC 2025","Mon Oct 06 18:04:08 UTC 2025","2740","","Auth UI Tests — Login & Logout scenarios","","tests.authandregistration.LoginTests","shouldShowErrorOnWrongPassword_SS_T32","[SS-T32] Auth / Login — неверный пароль → ошибка авторизации",""
"passed","Mon Oct 06 18:09:28 UTC 2025","Mon Oct 06 18:09:34 UTC 2025","5554","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","editTestName_success","Edit test name: name is updated and shown in header",""
"passed","Mon Oct 06 18:10:59 UTC 2025","Mon Oct 06 18:11:07 UTC 2025","8196","","Прохождение тестов","","tests.passingtests.TestPassingTests","getLinkToTest","Get link to the test 'Тест Прохождение тестов с одной опцией'",""
"passed","Mon Oct 06 18:04:08 UTC 2025","Mon Oct 06 18:04:10 UTC 2025","2170","","Delete user (Settings(API))","","tests.users.DeleteUserTests","deleteUser_returns200","Users: delete",""
"passed","Mon Oct 06 18:03:53 UTC 2025","Mon Oct 06 18:03:56 UTC 2025","2596","","Auth UI Tests — Login & Logout scenarios","","tests.authandregistration.LoginTests","shouldRedirectToLoginWhenOpenDashboardWithoutAuth_SS_T66","[SS-T66] Auth / Access — переход на /dashboard без логина ведёт на /login",""
"passed","Mon Oct 06 18:03:20 UTC 2025","Mon Oct 06 18:03:21 UTC 2025","849","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"passed","Mon Oct 06 18:03:22 UTC 2025","Mon Oct 06 18:03:24 UTC 2025","2052","","Managing sessions via API","","tests.sessiontests.SessionsApiTests","createSession_success","Assign test to candidate: successful session creation",""
"passed","Mon Oct 06 18:08:22 UTC 2025","Mon Oct 06 18:08:26 UTC 2025","4034","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","invalidPasswordOnOwnReset_ShowsErrorToast","Invalid password when resetting own password (error toast)",""
"passed","Mon Oct 06 18:06:13 UTC 2025","Mon Oct 06 18:06:30 UTC 2025","17252","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Mon Oct 06 18:03:51 UTC 2025","Mon Oct 06 18:03:51 UTC 2025","862","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Edit test: change name and description",""
"passed","Mon Oct 06 18:04:02 UTC 2025","Mon Oct 06 18:04:04 UTC 2025","2216","","Update user role (Settings(API)","","tests.users.UpdateUserRoleTests","updateRole_returns200","Users: update role",""
"passed","Mon Oct 06 18:03:31 UTC 2025","Mon Oct 06 18:03:32 UTC 2025","546","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithAbsentRow","Check candidates import when row has no values",""
"passed","Mon Oct 06 18:03:55 UTC 2025","Mon Oct 06 18:03:55 UTC 2025","864","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Edit test: change time limit",""
"passed","Mon Oct 06 18:04:55 UTC 2025","Mon Oct 06 18:05:17 UTC 2025","22179","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","unsuccessfulBulkAssigningTests","Назначение тестов более 500 кандидатам с неуспешным результатом",""
"passed","Mon Oct 06 18:04:11 UTC 2025","Mon Oct 06 18:04:12 UTC 2025","1777","","Register user (Settings(API)","","tests.users.RegisterUserTests","registerUser_returns201","Users: register",""
"passed","Mon Oct 06 18:03:48 UTC 2025","Mon Oct 06 18:03:49 UTC 2025","502","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Mon Oct 06 18:08:26 UTC 2025","Mon Oct 06 18:08:30 UTC 2025","4001","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","cannotDeleteOwnUser","Cannot delete own user (Delete disabled)",""
"passed","Mon Oct 06 18:03:31 UTC 2025","Mon Oct 06 18:03:31 UTC 2025","481","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidates","Check fully successful candidates import",""
