"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","emptyPasswordField","Empty Password field when adding a user",""
"passed","Tue Oct 07 23:23:38 UTC 2025","Tue Oct 07 23:23:40 UTC 2025","2333","","Update user role (Settings(API)","","tests.users.UpdateUserRoleTests","updateRole_returns200","Users: update role",""
"passed","Tue Oct 07 23:23:06 UTC 2025","Tue Oct 07 23:23:07 UTC 2025","848","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidFullName_SS_T27","SS-T27 | [NEG] Registration — Invalid full name; no confirmation / Невалидное «Имя Фамилия» — подтверждение не стартует",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","cannotChangeOwnRole_ShowsErrorToast","Cannot change own role (error toast)",""
"passed","Tue Oct 07 23:23:27 UTC 2025","Tue Oct 07 23:23:27 UTC 2025","470","","Create tests via API","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Positive scenario: successful test creation",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addExistingCandidateError","Проверка невозможности добавления кандидата с уже существующим емейлом",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","editTestName_success","Edit test name: name is updated and shown in header",""
"passed","Tue Oct 07 23:23:23 UTC 2025","Tue Oct 07 23:23:23 UTC 2025","515","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"failed","Tue Oct 07 23:23:13 UTC 2025","Tue Oct 07 23:23:15 UTC 2025","1396","","Generate Questions via API","","tests.questiontests.GenerateQuestionsApiTests","generateQuestions_success","Positive scenario: generate questions with valid data",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","t84_orgAllowsDigitsAndSpecials","SS-T84 | [POS] Registration — Org name allows digits & specials / Название организации допускает цифры и спецсимволы",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidate","Проверка успешного добавления Кандидата",""
"passed","Tue Oct 07 23:23:26 UTC 2025","Tue Oct 07 23:23:27 UTC 2025","912","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestDescription","Edit test: change description",""
"passed","Tue Oct 07 23:23:20 UTC 2025","Tue Oct 07 23:23:20 UTC 2025","472","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Tue Oct 07 23:23:31 UTC 2025","Tue Oct 07 23:23:34 UTC 2025","2482","","Reset user password (Settings(API)","","tests.users.ResetUserPasswordTests","resetPassword_returns200","Users: reset password",""
"passed","Tue Oct 07 23:23:19 UTC 2025","Tue Oct 07 23:23:19 UTC 2025","503","","Проверка запросов GET /candidates","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"broken","Tue Oct 07 23:24:18 UTC 2025","Tue Oct 07 23:24:51 UTC 2025","33453","","Tests Passing - UI Tests","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","unsuccessfulBulkAssigningTests","Назначение тестов более 500 кандидатам с неуспешным результатом",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Login UI — Login & Logout / Авторизация и выход","","tests.authandregistration.LoginTests","shouldRedirectToLoginWhenOpenDashboardWithoutAuth_SS_T66","SS-T66 | [ACC] Auth — Dashboard without login redirects to /login / Доступ к Dashboard без логина → редирект на /login",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings tests UI","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ",""
"passed","Tue Oct 07 23:23:47 UTC 2025","Tue Oct 07 23:23:49 UTC 2025","1910","","Register user (Settings(API)","","tests.users.RegisterUserTests","registerUser_returns201","Users: register",""
"passed","Tue Oct 07 23:23:17 UTC 2025","Tue Oct 07 23:23:17 UTC 2025","532","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidates","Check fully successful candidates import",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","invalidPasswordOnOwnReset_ShowsErrorToast","Invalid password when resetting own password (error toast)",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Generate Questions UI Tests","","tests.managetests.GenerateQuestionsUiTests","generateQuestions_success","Generate Questions: positive scenario → questions are generated and appear in the list",""
"passed","Tue Oct 07 23:23:44 UTC 2025","Tue Oct 07 23:23:46 UTC 2025","2446","","Delete user (Settings(API))","","tests.users.DeleteUserTests","deleteUser_returns200","Users: delete",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldShowErrorOnInvalidOrExpiredCode_SS_T83","SS-T83 | [NEG] Registration — Invalid/expired code keeps modal open / Неверный или просроченный код — модалка остаётся открытой",""
"passed","Tue Oct 07 23:23:07 UTC 2025","Tue Oct 07 23:23:07 UTC 2025","482","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getRecentActivityListTest","Проверка получения списка недавней активности",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","createTest_quickAction_opensModal","should open the ""Create Test"" modal upon clicking the quick action button",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidOrganizationName_SS_T28","SS-T28 | [NEG] Registration — Invalid organization name shows error / Невалидное «Название организации» — ошибка показывается",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","emptyFullNameField","Empty Full Name field when adding a user",""
"passed","Tue Oct 07 23:23:22 UTC 2025","Tue Oct 07 23:23:23 UTC 2025","475","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Tue Oct 07 23:23:08 UTC 2025","Tue Oct 07 23:23:10 UTC 2025","2172","","Managing sessions via API","","tests.sessiontests.SessionsApiTests","createSession_success","Assign test to candidate: successful session creation",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTest","Create Test: positive scenario → test is created successfully",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidPasswords_SS_T29","SS-T29 | [NEG] Registration — Invalid password; registration not started / Невалидный пароль — регистрация не стартует",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Create Test with empty name: negative scenario → error message appears",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Add Question via UI","","tests.managetests.AddQuestionUiTests","addQuestion_validationError","Add Question: validation fails when text is less than 5 characters",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","cannotDeleteOwnUser","Cannot delete own user (Delete disabled)",""
"passed","Tue Oct 07 23:23:27 UTC 2025","Tue Oct 07 23:23:28 UTC 2025","929","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestIsActive","Edit test: change isActive to true",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Assign Test UI Tests","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Assign Test to Candidate: positive scenario → test is assigned to candidate and appears in the list",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","editTestPassingScore_success","Edit test passing score: value is updated and success message is shown",""
"passed","Tue Oct 07 23:23:25 UTC 2025","Tue Oct 07 23:23:26 UTC 2025","931","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Edit test: change name and description",""
"passed","Tue Oct 07 23:23:30 UTC 2025","Tue Oct 07 23:23:30 UTC 2025","467","","Create tests via API","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Positive scenario: создание теста без описания",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings tests UI","","tests.settings.SettingsTests","changeRole","Change role",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Login UI — Login & Logout / Авторизация и выход","","tests.authandregistration.LoginTests","shouldLoginSuccessfully_SS_T30","SS-T30 | [POS] Auth/Login — Successful login / Успешная авторизация",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRegisterNewUser_SS_T11","SS-T11 | [POS] Registration — Successful new user registration / Успешная регистрация нового пользователя",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTestButtonIsVisible","Open Tests Page and check 'Create Test' button is visible",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectAlreadyRegisteredEmailAfterCode_SS_T14","SS-T14 | [NEG] Registration — E-mail already registered (error after code) / E-mail уже зарегистрирован — ошибка после кода",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Login UI — Login & Logout / Авторизация и выход","","tests.authandregistration.LoginTests","shouldDenyDashboardAfterLogout_SS_T69","SS-T69 | [ACC] Auth/Logout — Dashboard denied after logout / После выхода Dashboard недоступен",""
"passed","Tue Oct 07 23:23:21 UTC 2025","Tue Oct 07 23:23:22 UTC 2025","723","","Check GET /candidates/export requests","","tests.candidates.ExportCandidatesTests","exportCandidates","Check successful candidates export",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings tests UI","","tests.settings.SettingsTests","createUser","Create user",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","emptyEmailField","Empty Email field when adding a user",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","openTestsPage","Open Tests Page",""
"passed","Tue Oct 07 23:23:29 UTC 2025","Tue Oct 07 23:23:30 UTC 2025","921","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Edit test: change time limit",""
"skipped","Tue Oct 07 23:22:53 UTC 2025","Tue Oct 07 23:22:53 UTC 2025","0","","Auth/Login UI — Login & Logout / Авторизация и выход","","tests.authandregistration.LoginTests","shouldShowValidationErrorsOnEmptyFields_SS_T62","SS-T62 | [NEG] Auth/Login — Validation errors on empty/partial fields / Ошибки при пустых/частичных полях",""
