"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 10:09:21 GMT 2025","Thu Sep 25 10:09:23 GMT 2025","1226","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_missingTestId_400","Создание вопроса: 400 если отсутствует testId",""
"passed","Thu Sep 25 10:09:28 GMT 2025","Thu Sep 25 10:09:28 GMT 2025","628","","tests.candidates.CreateNewCandidateTests","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Thu Sep 25 10:12:56 GMT 2025","Thu Sep 25 10:13:04 GMT 2025","7739","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"passed","Thu Sep 25 10:09:45 GMT 2025","Thu Sep 25 10:09:48 GMT 2025","2923","","Login tests","","tests.authandregistration.LoginTests","invalidEmail_showsFormatError","SS-T63: Невалидный email → ошибка формата",""
"passed","Thu Sep 25 10:09:32 GMT 2025","Thu Sep 25 10:09:33 GMT 2025","1210","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"passed","Thu Sep 25 10:09:28 GMT 2025","Thu Sep 25 10:09:32 GMT 2025","4438","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
"passed","Thu Sep 25 10:09:42 GMT 2025","Thu Sep 25 10:09:45 GMT 2025","2817","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"passed","Thu Sep 25 10:09:13 GMT 2025","Thu Sep 25 10:09:19 GMT 2025","5608","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","addCandidate_quickAction_opensModal","should open the ""Add Candidate"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 10:10:18 GMT 2025","Thu Sep 25 10:10:28 GMT 2025","9939","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [3] MISSING_EMAIL",""
"passed","Thu Sep 25 10:09:23 GMT 2025","Thu Sep 25 10:09:28 GMT 2025","4555","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","createTest_quickAction_opensModal","should open the ""Create Test"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 10:09:48 GMT 2025","Thu Sep 25 10:09:52 GMT 2025","3590","","tests.candidates.CandidatesTests","","tests.candidates.CandidatesTests","checkButtonisV","checkButtonisV()",""
"passed","Thu Sep 25 10:09:23 GMT 2025","Thu Sep 25 10:09:24 GMT 2025","1244","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Создание вопроса: 201 + схема",""
"passed","Thu Sep 25 10:13:04 GMT 2025","Thu Sep 25 10:13:12 GMT 2025","8057","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","getLinkToTest","Get link to the test 'Тест Прохождение тестов с одной опцией'",""
"passed","Thu Sep 25 10:09:35 GMT 2025","Thu Sep 25 10:09:36 GMT 2025","614","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Позитивный сценарий: успешное создание теста",""
"passed","Thu Sep 25 10:09:39 GMT 2025","Thu Sep 25 10:09:42 GMT 2025","3127","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Thu Sep 25 10:12:38 GMT 2025","Thu Sep 25 10:12:46 GMT 2025","7847","","tests.managetests.AssignTestUiTests","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Назначение теста кандидату",""
"passed","Thu Sep 25 10:09:24 GMT 2025","Thu Sep 25 10:09:27 GMT 2025","2666","","Get all candidates tests","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"passed","Thu Sep 25 10:12:18 GMT 2025","Thu Sep 25 10:12:22 GMT 2025","4449","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","Модальное окно 'Создать тест' открывается после клика",""
"passed","Thu Sep 25 10:09:36 GMT 2025","Thu Sep 25 10:09:37 GMT 2025","1211","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestIsActive","Редактирование теста: изменение активности",""
"passed","Thu Sep 25 10:12:04 GMT 2025","Thu Sep 25 10:12:17 GMT 2025","12931","","tests.settings.SettingsTests","","tests.settings.SettingsTests","deleteUser","Delete user",""
"passed","Thu Sep 25 10:12:34 GMT 2025","Thu Sep 25 10:12:38 GMT 2025","3924","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTest","Успешное создание теста с уникальным именем",""
"passed","Thu Sep 25 10:12:22 GMT 2025","Thu Sep 25 10:12:26 GMT 2025","3718","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","openTestsPage","Открытие страницы 'Тесты'",""
"passed","Thu Sep 25 10:09:30 GMT 2025","Thu Sep 25 10:09:31 GMT 2025","681","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Thu Sep 25 10:09:37 GMT 2025","Thu Sep 25 10:09:38 GMT 2025","1204","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestName","Редактирование теста: изменение названия",""
"passed","Thu Sep 25 10:09:52 GMT 2025","Thu Sep 25 10:09:58 GMT 2025","6163","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidate","Check successful Candidate adding",""
"passed","Thu Sep 25 10:11:09 GMT 2025","Thu Sep 25 10:11:19 GMT 2025","10494","","Candidates tests","","tests.candidates.AddCandidateTests","closeAddCandidateModal","Check closing modal 'Добавить кандидата'",""
"passed","Thu Sep 25 10:10:08 GMT 2025","Thu Sep 25 10:10:18 GMT 2025","10335","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [2] SHORT_NAME",""
"passed","Thu Sep 25 10:09:38 GMT 2025","Thu Sep 25 10:09:40 GMT 2025","1189","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Редактирование теста: изменение лимита времени",""
"passed","Thu Sep 25 10:09:30 GMT 2025","Thu Sep 25 10:09:30 GMT 2025","590","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Thu Sep 25 10:09:19 GMT 2025","Thu Sep 25 10:09:23 GMT 2025","4303","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","recentActivity_list_isVisible_andHasItems","should display the list of recent activities",""
"passed","Thu Sep 25 10:09:34 GMT 2025","Thu Sep 25 10:09:35 GMT 2025","1228","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
"passed","Thu Sep 25 10:11:20 GMT 2025","Thu Sep 25 10:11:33 GMT 2025","13915","","tests.settings.SettingsTests","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Thu Sep 25 10:11:56 GMT 2025","Thu Sep 25 10:12:04 GMT 2025","7837","","tests.settings.SettingsTests","","tests.settings.SettingsTests","createUser","Create user",""
"passed","Thu Sep 25 10:09:58 GMT 2025","Thu Sep 25 10:10:08 GMT 2025","9895","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [1] MISSING_NAME",""
"passed","Thu Sep 25 10:09:33 GMT 2025","Thu Sep 25 10:09:36 GMT 2025","3043","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"passed","Thu Sep 25 10:12:26 GMT 2025","Thu Sep 25 10:12:30 GMT 2025","3857","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestButtonIsVisible","Кнопка 'Создать тест' отображается",""
"passed","Thu Sep 25 10:09:36 GMT 2025","Thu Sep 25 10:09:39 GMT 2025","3012","","Login tests","","tests.authandregistration.LoginTests","wrongLogin_showsErrorToast","SS-T31: Неверный логин → toast 'Ошибка входа'",""
"passed","Thu Sep 25 10:12:30 GMT 2025","Thu Sep 25 10:12:34 GMT 2025","4041","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Создание теста с пустым именем показывает ошибку",""
"passed","Thu Sep 25 10:09:33 GMT 2025","Thu Sep 25 10:09:34 GMT 2025","1262","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
"passed","Thu Sep 25 10:09:40 GMT 2025","Thu Sep 25 10:09:40 GMT 2025","583","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"passed","Thu Sep 25 10:12:46 GMT 2025","Thu Sep 25 10:12:56 GMT 2025","10224","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Thu Sep 25 10:09:28 GMT 2025","Thu Sep 25 10:09:29 GMT 2025","608","","tests.candidates.CreateNewCandidateTests","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Thu Sep 25 10:09:18 GMT 2025","Thu Sep 25 10:09:20 GMT 2025","2881","","tests.sessiontests.SessionsApiTests","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
"passed","Thu Sep 25 10:11:33 GMT 2025","Thu Sep 25 10:11:47 GMT 2025","13224","","tests.settings.SettingsTests","","tests.settings.SettingsTests","resetPassword","Reset password",""
