"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 14:23:55 GMT 2025","Thu Sep 25 14:23:57 GMT 2025","2204","","Reset user password (Settings(API)","","tests.users.ResetUserPasswordTests","resetPassword_returns200","Users: reset password",""
"broken","Thu Sep 25 14:23:49 GMT 2025","Thu Sep 25 14:23:50 GMT 2025","843","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
"passed","Thu Sep 25 14:25:22 GMT 2025","Thu Sep 25 14:25:30 GMT 2025","8796","","tests.candidates.CandidatesTests","","tests.candidates.CandidatesTests","checkButtonisV","checkButtonisV()",""
"passed","Thu Sep 25 14:26:25 GMT 2025","Thu Sep 25 14:26:39 GMT 2025","14436","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [2] SHORT_NAME",""
"passed","Thu Sep 25 14:24:13 GMT 2025","Thu Sep 25 14:24:15 GMT 2025","2625","","Login tests","","tests.authandregistration.LoginTests","invalidEmail_showsFormatError","SS-T63: Невалидный email → ошибка формата",""
"passed","Thu Sep 25 14:29:19 GMT 2025","Thu Sep 25 14:29:24 GMT 2025","5043","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Создание теста с пустым именем показывает ошибку",""
"passed","Thu Sep 25 14:29:53 GMT 2025","Thu Sep 25 14:30:00 GMT 2025","7626","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","getLinkToTest","Get link to the test 'Тест Прохождение тестов с одной опцией'",""
"passed","Thu Sep 25 14:24:04 GMT 2025","Thu Sep 25 14:24:07 GMT 2025","2780","","Login tests","","tests.authandregistration.LoginTests","wrongLogin_showsErrorToast","SS-T31: Неверный логин → toast 'Ошибка входа'",""
"passed","Thu Sep 25 14:23:38 GMT 2025","Thu Sep 25 14:23:39 GMT 2025","842","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_missingTestId_400","Создание вопроса: 400 если отсутствует testId",""
"passed","Thu Sep 25 14:23:43 GMT 2025","Thu Sep 25 14:23:45 GMT 2025","2074","","Проверка запросов GET /candidates","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"failed","Thu Sep 25 14:23:41 GMT 2025","Thu Sep 25 14:23:42 GMT 2025","1568","","tests.questiontests.GenerateQuestionsApiTests","","tests.questiontests.GenerateQuestionsApiTests","generateQuestions_success","Генерация 3 single_choice вопросов: проверка статуса 200 + схемы",""
"broken","Thu Sep 25 14:23:50 GMT 2025","Thu Sep 25 14:23:50 GMT 2025","813","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
"passed","Thu Sep 25 14:27:39 GMT 2025","Thu Sep 25 14:27:53 GMT 2025","14133","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","closeAddCandidateModal","Проверка закрытия модалки 'Добавить кандидата'",""
"passed","Thu Sep 25 14:24:02 GMT 2025","Thu Sep 25 14:24:04 GMT 2025","2837","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"passed","Thu Sep 25 14:24:07 GMT 2025","Thu Sep 25 14:24:10 GMT 2025","2806","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Thu Sep 25 14:28:38 GMT 2025","Thu Sep 25 14:28:46 GMT 2025","8077","","tests.settings.SettingsTests","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Thu Sep 25 14:29:35 GMT 2025","Thu Sep 25 14:29:45 GMT 2025","10157","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Thu Sep 25 14:23:57 GMT 2025","Thu Sep 25 14:24:00 GMT 2025","2129","","Register duplicate user (Settings(API)","","tests.users.RegisterUserNegativeTests","registerDuplicate_returns400","Users: register duplicate -> 400",""
"passed","Thu Sep 25 14:26:10 GMT 2025","Thu Sep 25 14:26:25 GMT 2025","14484","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [1] MISSING_NAME",""
"passed","Thu Sep 25 14:23:53 GMT 2025","Thu Sep 25 14:23:54 GMT 2025","404","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"passed","Thu Sep 25 14:29:07 GMT 2025","Thu Sep 25 14:29:12 GMT 2025","4850","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","Модальное окно 'Создать тест' открывается после клика",""
"broken","Thu Sep 25 14:26:54 GMT 2025","Thu Sep 25 14:27:39 GMT 2025","45577","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addExistingCandidateError","Проверка невозможности добавления кандидата с уже существующим емейлом",""
"passed","Thu Sep 25 14:23:34 GMT 2025","Thu Sep 25 14:23:35 GMT 2025","873","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"passed","Thu Sep 25 14:24:10 GMT 2025","Thu Sep 25 14:24:13 GMT 2025","2591","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"broken","Thu Sep 25 14:23:48 GMT 2025","Thu Sep 25 14:23:49 GMT 2025","867","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"failed","Thu Sep 25 14:24:16 GMT 2025","Thu Sep 25 14:24:41 GMT 2025","24983","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"passed","Thu Sep 25 14:26:39 GMT 2025","Thu Sep 25 14:26:54 GMT 2025","14402","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Thu Sep 25 14:24:09 GMT 2025","Thu Sep 25 14:24:10 GMT 2025","1742","","Register user (Settings(API)","","tests.users.RegisterUserTests","registerUser_returns201","Users: register",""
"passed","Thu Sep 25 14:27:54 GMT 2025","Thu Sep 25 14:28:02 GMT 2025","7789","","tests.settings.SettingsTests","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Thu Sep 25 14:23:35 GMT 2025","Thu Sep 25 14:23:35 GMT 2025","478","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getRecentActivityListTest","Проверка получения списка недавней активности",""
"passed","Thu Sep 25 14:23:46 GMT 2025","Thu Sep 25 14:23:46 GMT 2025","427","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Thu Sep 25 14:24:00 GMT 2025","Thu Sep 25 14:24:02 GMT 2025","2192","","Update user role (Settings(API)","","tests.users.UpdateUserRoleTests","updateRole_returns200","Users: update role",""
"passed","Thu Sep 25 14:23:44 GMT 2025","Thu Sep 25 14:23:49 GMT 2025","4740","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","addCandidate_quickAction_opensModal","should open the ""Add Candidate"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 14:24:41 GMT 2025","Thu Sep 25 14:25:21 GMT 2025","40479","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","unsuccessfulBulkAssigningTests","Назначение тестов более 500 кандидатам с неуспешным результатом",""
"passed","Thu Sep 25 14:25:31 GMT 2025","Thu Sep 25 14:26:10 GMT 2025","39445","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidate","Проверка успешного добавления Кандидата",""
"passed","Thu Sep 25 14:23:39 GMT 2025","Thu Sep 25 14:23:40 GMT 2025","890","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Создание вопроса:проверка статуса 201 + схемы",""
"passed","Thu Sep 25 14:23:49 GMT 2025","Thu Sep 25 14:23:53 GMT 2025","3989","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","recentActivity_list_isVisible_andHasItems","should display the list of recent activities",""
"passed","Thu Sep 25 14:24:06 GMT 2025","Thu Sep 25 14:24:08 GMT 2025","2159","","Delete user (Settings(API))","","tests.users.DeleteUserTests","deleteUser_returns200","Users: delete",""
"passed","Thu Sep 25 14:23:47 GMT 2025","Thu Sep 25 14:23:47 GMT 2025","494","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Thu Sep 25 14:23:54 GMT 2025","Thu Sep 25 14:23:54 GMT 2025","402","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutName","Негативный сценарий: создание теста без имени",""
"broken","Thu Sep 25 14:23:51 GMT 2025","Thu Sep 25 14:23:52 GMT 2025","868","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestIsActive","Редактирование теста: изменение активности",""
"passed","Thu Sep 25 14:23:47 GMT 2025","Thu Sep 25 14:23:47 GMT 2025","418","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"broken","Thu Sep 25 14:23:52 GMT 2025","Thu Sep 25 14:23:53 GMT 2025","831","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestName","Редактирование теста: изменение названия",""
"broken","Thu Sep 25 14:23:50 GMT 2025","Thu Sep 25 14:23:51 GMT 2025","419","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Позитивный сценарий: успешное создание теста",""
"passed","Thu Sep 25 14:23:57 GMT 2025","Thu Sep 25 14:24:01 GMT 2025","4030","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
"passed","Thu Sep 25 14:24:03 GMT 2025","Thu Sep 25 14:24:06 GMT 2025","2625","","Block & unblock user (Settings(API)","","tests.users.UpdateUserActiveTests","block_then_unblock_returns200","Users: block & unblock",""
"passed","Thu Sep 25 14:29:15 GMT 2025","Thu Sep 25 14:29:19 GMT 2025","3423","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestButtonIsVisible","Кнопка 'Создать тест' отображается",""
"broken","Thu Sep 25 14:28:02 GMT 2025","Thu Sep 25 14:28:38 GMT 2025","36522","","tests.settings.SettingsTests","","tests.settings.SettingsTests","resetPassword","Reset password",""
"passed","Thu Sep 25 14:29:12 GMT 2025","Thu Sep 25 14:29:15 GMT 2025","3234","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","openTestsPage","Открытие страницы 'Тесты'",""
"passed","Thu Sep 25 14:29:45 GMT 2025","Thu Sep 25 14:29:53 GMT 2025","7410","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"passed","Thu Sep 25 14:28:53 GMT 2025","Thu Sep 25 14:29:00 GMT 2025","7040","","tests.settings.SettingsTests","","tests.settings.SettingsTests","deleteUser","Delete user",""
"passed","Thu Sep 25 14:29:01 GMT 2025","Thu Sep 25 14:29:07 GMT 2025","6094","","tests.managetests.AddQuestionUiTests","","tests.managetests.AddQuestionUiTests","addQuestion_success","Добавление вопроса: валидные данные → вопрос создаётся",""
"passed","Thu Sep 25 14:28:46 GMT 2025","Thu Sep 25 14:28:53 GMT 2025","6793","","tests.settings.SettingsTests","","tests.settings.SettingsTests","createUser","Create user",""
"passed","Thu Sep 25 14:23:53 GMT 2025","Thu Sep 25 14:23:57 GMT 2025","4175","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","createTest_quickAction_opensModal","should open the ""Create Test"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 14:29:24 GMT 2025","Thu Sep 25 14:29:27 GMT 2025","3465","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTest","Успешное создание теста с уникальным именем",""
"passed","Thu Sep 25 14:29:27 GMT 2025","Thu Sep 25 14:29:35 GMT 2025","7302","","tests.managetests.AssignTestUiTests","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Назначение теста кандидату",""
"passed","Thu Sep 25 14:23:45 GMT 2025","Thu Sep 25 14:23:46 GMT 2025","426","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"broken","Thu Sep 25 14:23:53 GMT 2025","Thu Sep 25 14:23:53 GMT 2025","848","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Редактирование теста: изменение лимита времени",""
"passed","Thu Sep 25 14:23:36 GMT 2025","Thu Sep 25 14:23:38 GMT 2025","2043","","tests.sessiontests.SessionsApiTests","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
