"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 20:28:42 GMT 2025","Thu Sep 25 20:28:44 GMT 2025","2451","","tests.sessiontests.SessionsApiTests","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
"passed","Thu Sep 25 20:28:59 GMT 2025","Thu Sep 25 20:29:00 GMT 2025","1218","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
"passed","Thu Sep 25 20:28:46 GMT 2025","Thu Sep 25 20:28:47 GMT 2025","1226","","Добавление вопросов через API","","tests.questiontests.QuestionsApiTests","createQuestion_success","Создание вопроса:проверка статуса 201 + схемы",""
"passed","Thu Sep 25 20:29:19 GMT 2025","Thu Sep 25 20:29:22 GMT 2025","3137","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"passed","Thu Sep 25 20:33:39 GMT 2025","Thu Sep 25 20:33:49 GMT 2025","10104","","Settings tests UI","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Thu Sep 25 20:31:45 GMT 2025","Thu Sep 25 20:32:01 GMT 2025","16054","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [2] SHORT_NAME",""
"failed","Thu Sep 25 20:29:25 GMT 2025","Thu Sep 25 20:29:52 GMT 2025","26912","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"broken","Thu Sep 25 20:32:17 GMT 2025","Thu Sep 25 20:33:04 GMT 2025","47351","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addExistingCandidateError","Проверка невозможности добавления кандидата с уже существующим емейлом",""
"passed","Thu Sep 25 20:31:29 GMT 2025","Thu Sep 25 20:31:45 GMT 2025","16063","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [1] MISSING_NAME",""
"passed","Thu Sep 25 20:29:00 GMT 2025","Thu Sep 25 20:29:01 GMT 2025","1216","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
