"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 14:10:28 GMT 2025","Thu Sep 25 14:10:33 GMT 2025","5448","","tests.managetests.AddQuestionUiTests","","tests.managetests.AddQuestionUiTests","addQuestion_success","Добавление вопроса: валидные данные → вопрос создаётся",""
"passed","Thu Sep 25 14:06:01 GMT 2025","Thu Sep 25 14:06:04 GMT 2025","2827","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"passed","Thu Sep 25 14:07:20 GMT 2025","Thu Sep 25 14:07:28 GMT 2025","8551","","tests.candidates.CandidatesTests","","tests.candidates.CandidatesTests","checkButtonisV","checkButtonisV()",""
"passed","Thu Sep 25 14:05:56 GMT 2025","Thu Sep 25 14:05:56 GMT 2025","578","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Thu Sep 25 14:10:06 GMT 2025","Thu Sep 25 14:10:14 GMT 2025","7707","","tests.settings.SettingsTests","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Thu Sep 25 14:06:06 GMT 2025","Thu Sep 25 14:06:07 GMT 2025","547","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"broken","Thu Sep 25 14:05:59 GMT 2025","Thu Sep 25 14:06:00 GMT 2025","1132","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"passed","Thu Sep 25 14:09:51 GMT 2025","Thu Sep 25 14:09:59 GMT 2025","7632","","tests.settings.SettingsTests","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Thu Sep 25 14:08:37 GMT 2025","Thu Sep 25 14:08:51 GMT 2025","14384","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Thu Sep 25 14:11:01 GMT 2025","Thu Sep 25 14:11:10 GMT 2025","9612","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
