"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 24 20:07:57 GMT 2025","Wed Sep 24 20:07:58 GMT 2025","439","","tests.candidates.CreateNewCandidateTests","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"broken","Wed Sep 24 20:10:52 GMT 2025","Wed Sep 24 20:11:57 GMT 2025","64175","","tests.settings.SettingsTests","","tests.settings.SettingsTests","resetPassword","Reset password",""
"broken","Wed Sep 24 20:09:48 GMT 2025","Wed Sep 24 20:10:52 GMT 2025","64197","","tests.settings.SettingsTests","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Wed Sep 24 20:08:03 GMT 2025","Wed Sep 24 20:08:04 GMT 2025","846","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestIsActive","Редактирование теста: изменение активности",""
"passed","Wed Sep 24 20:07:55 GMT 2025","Wed Sep 24 20:07:57 GMT 2025","2017","","Get all candidates tests","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"passed","Wed Sep 24 20:08:15 GMT 2025","Wed Sep 24 20:08:18 GMT 2025","2623","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"passed","Wed Sep 24 20:08:07 GMT 2025","Wed Sep 24 20:08:09 GMT 2025","2835","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"passed","Wed Sep 24 20:07:57 GMT 2025","Wed Sep 24 20:07:57 GMT 2025","422","","tests.candidates.CreateNewCandidateTests","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Wed Sep 24 20:15:45 GMT 2025","Wed Sep 24 20:15:52 GMT 2025","7108","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"passed","Wed Sep 24 20:08:05 GMT 2025","Wed Sep 24 20:08:06 GMT 2025","414","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"passed","Wed Sep 24 20:07:58 GMT 2025","Wed Sep 24 20:07:59 GMT 2025","408","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Wed Sep 24 20:09:17 GMT 2025","Wed Sep 24 20:09:27 GMT 2025","9461","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [3] MISSING_EMAIL",""
"passed","Wed Sep 24 20:09:04 GMT 2025","Wed Sep 24 20:09:08 GMT 2025","3804","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [1] MISSING_NAME",""
"failed","Wed Sep 24 20:09:27 GMT 2025","Wed Sep 24 20:09:37 GMT 2025","10470","","Candidates tests","","tests.candidates.AddCandidateTests","addExistingCandidateError","Check error notification while adding candidate that was already added",""
"passed","Wed Sep 24 20:08:12 GMT 2025","Wed Sep 24 20:08:15 GMT 2025","2912","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Wed Sep 24 20:15:35 GMT 2025","Wed Sep 24 20:15:45 GMT 2025","9967","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Wed Sep 24 20:07:53 GMT 2025","Wed Sep 24 20:07:54 GMT 2025","905","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Создание вопроса: 201 + схема",""
