"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 24 21:12:30 GMT 2025","Wed Sep 24 21:12:39 GMT 2025","9584","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [2] SHORT_NAME",""
"passed","Wed Sep 24 21:18:37 GMT 2025","Wed Sep 24 21:18:41 GMT 2025","3857","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Создание теста с пустым именем показывает ошибку",""
"passed","Wed Sep 24 21:12:08 GMT 2025","Wed Sep 24 21:12:10 GMT 2025","2856","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Wed Sep 24 21:18:52 GMT 2025","Wed Sep 24 21:19:02 GMT 2025","10158","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Wed Sep 24 21:11:42 GMT 2025","Wed Sep 24 21:11:43 GMT 2025","979","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestIsActive","Редактирование теста: изменение активности",""
"passed","Wed Sep 24 21:19:09 GMT 2025","Wed Sep 24 21:19:17 GMT 2025","7308","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","getLinkToTest","Get link to the test 'Тест Прохождение тестов с одной опцией'",""
"passed","Wed Sep 24 21:12:26 GMT 2025","Wed Sep 24 21:12:30 GMT 2025","3794","","Candidates tests","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Check Modal's validation errors when adding Candidate [1] MISSING_NAME",""
"passed","Wed Sep 24 21:11:39 GMT 2025","Wed Sep 24 21:11:40 GMT 2025","995","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
"passed","Wed Sep 24 21:11:44 GMT 2025","Wed Sep 24 21:11:45 GMT 2025","1034","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Редактирование теста: изменение лимита времени",""
"passed","Wed Sep 24 21:12:16 GMT 2025","Wed Sep 24 21:12:20 GMT 2025","3510","","tests.candidates.CandidatesTests","","tests.candidates.CandidatesTests","checkButtonisV","checkButtonisV()",""
"passed","Wed Sep 24 21:11:57 GMT 2025","Wed Sep 24 21:12:01 GMT 2025","4132","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
"broken","Wed Sep 24 21:14:08 GMT 2025","Wed Sep 24 21:15:13 GMT 2025","64244","","tests.settings.SettingsTests","","tests.settings.SettingsTests","resetPassword","Reset password",""
"passed","Wed Sep 24 21:12:02 GMT 2025","Wed Sep 24 21:12:05 GMT 2025","2893","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"broken","Wed Sep 24 21:15:13 GMT 2025","Wed Sep 24 21:16:17 GMT 2025","64180","","tests.settings.SettingsTests","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Wed Sep 24 21:11:55 GMT 2025","Wed Sep 24 21:11:57 GMT 2025","1612","","tests.sessiontests.SessionsApiTests","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
"passed","Wed Sep 24 21:11:51 GMT 2025","Wed Sep 24 21:11:51 GMT 2025","518","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Wed Sep 24 21:11:41 GMT 2025","Wed Sep 24 21:11:42 GMT 2025","520","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Позитивный сценарий: успешное создание теста",""
"passed","Wed Sep 24 21:11:45 GMT 2025","Wed Sep 24 21:11:45 GMT 2025","529","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"passed","Wed Sep 24 21:19:02 GMT 2025","Wed Sep 24 21:19:09 GMT 2025","7129","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"passed","Wed Sep 24 21:11:37 GMT 2025","Wed Sep 24 21:11:39 GMT 2025","2141","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"passed","Wed Sep 24 21:18:26 GMT 2025","Wed Sep 24 21:18:30 GMT 2025","4316","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","Модальное окно 'Создать тест' открывается после клика",""
"passed","Wed Sep 24 21:11:50 GMT 2025","Wed Sep 24 21:11:50 GMT 2025","526","","tests.candidates.CreateNewCandidateTests","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Wed Sep 24 21:18:30 GMT 2025","Wed Sep 24 21:18:33 GMT 2025","3159","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","openTestsPage","Открытие страницы 'Тесты'",""
"passed","Wed Sep 24 21:11:53 GMT 2025","Wed Sep 24 21:11:57 GMT 2025","4205","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","createTest_quickAction_opensModal","should open the ""Create Test"" modal upon clicking the quick action button",""
"passed","Wed Sep 24 21:11:51 GMT 2025","Wed Sep 24 21:11:52 GMT 2025","604","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
