"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 12:28:01 GMT 2025","Thu Sep 25 12:28:03 GMT 2025","2462","","tests.sessiontests.SessionsApiTests","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
"passed","Thu Sep 25 12:28:16 GMT 2025","Thu Sep 25 12:28:17 GMT 2025","863","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Редактирование теста: изменение лимита времени",""
"failed","Thu Sep 25 12:28:44 GMT 2025","Thu Sep 25 12:29:08 GMT 2025","23797","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"passed","Thu Sep 25 12:28:17 GMT 2025","Thu Sep 25 12:28:18 GMT 2025","429","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Позитивный сценарий: создание теста без описания",""
"passed","Thu Sep 25 12:28:15 GMT 2025","Thu Sep 25 12:28:16 GMT 2025","881","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestIsActive","Редактирование теста: изменение активности",""
"passed","Thu Sep 25 12:31:58 GMT 2025","Thu Sep 25 12:32:12 GMT 2025","14229","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","closeAddCandidateModal","Проверка закрытия модалки 'Добавить кандидата'",""
"passed","Thu Sep 25 12:30:29 GMT 2025","Thu Sep 25 12:30:43 GMT 2025","14460","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [1] MISSING_NAME",""
"passed","Thu Sep 25 12:33:19 GMT 2025","Thu Sep 25 12:33:29 GMT 2025","9846","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Thu Sep 25 12:28:04 GMT 2025","Thu Sep 25 12:28:05 GMT 2025","864","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_missingTestId_400","Создание вопроса: 400 если отсутствует testId",""
"passed","Thu Sep 25 12:32:21 GMT 2025","Thu Sep 25 12:32:29 GMT 2025","7854","","tests.settings.SettingsTests","","tests.settings.SettingsTests","resetPassword","Reset password",""
"passed","Thu Sep 25 12:28:25 GMT 2025","Thu Sep 25 12:28:29 GMT 2025","3969","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","analyticsWidgets_showNonNegativeNumbers_andStableAfterIdle","should display correct numbers in all analytics widgets",""
"passed","Thu Sep 25 12:33:11 GMT 2025","Thu Sep 25 12:33:19 GMT 2025","7389","","tests.managetests.AssignTestUiTests","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Назначение теста кандидату",""
"passed","Thu Sep 25 12:28:36 GMT 2025","Thu Sep 25 12:28:39 GMT 2025","2787","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Thu Sep 25 12:30:43 GMT 2025","Thu Sep 25 12:30:57 GMT 2025","14002","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [2] SHORT_NAME",""
"passed","Thu Sep 25 12:32:37 GMT 2025","Thu Sep 25 12:32:44 GMT 2025","7283","","tests.settings.SettingsTests","","tests.settings.SettingsTests","createUser","Create user",""
"passed","Thu Sep 25 12:28:06 GMT 2025","Thu Sep 25 12:28:08 GMT 2025","2024","","Проверка запросов GET /candidates","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"passed","Thu Sep 25 12:30:57 GMT 2025","Thu Sep 25 12:31:12 GMT 2025","14287","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Thu Sep 25 12:28:29 GMT 2025","Thu Sep 25 12:28:32 GMT 2025","2834","","Login tests","","tests.authandregistration.LoginTests","wrongPassword_showsErrorToast","SS-T32: Неверный пароль → toast 'Ошибка входа'",""
"passed","Thu Sep 25 12:33:36 GMT 2025","Thu Sep 25 12:33:44 GMT 2025","7487","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","getLinkToTest","Get link to the test 'Тест Прохождение тестов с одной опцией'",""
"passed","Thu Sep 25 12:28:41 GMT 2025","Thu Sep 25 12:28:44 GMT 2025","2579","","Login tests","","tests.authandregistration.LoginTests","invalidEmail_showsFormatError","SS-T63: Невалидный email → ошибка формата",""
"passed","Thu Sep 25 12:33:08 GMT 2025","Thu Sep 25 12:33:11 GMT 2025","3461","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTest","Успешное создание теста с уникальным именем",""
"passed","Thu Sep 25 12:32:44 GMT 2025","Thu Sep 25 12:32:51 GMT 2025","7028","","tests.settings.SettingsTests","","tests.settings.SettingsTests","deleteUser","Delete user",""
"passed","Thu Sep 25 12:32:56 GMT 2025","Thu Sep 25 12:32:59 GMT 2025","3194","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","openTestsPage","Открытие страницы 'Тесты'",""
"passed","Thu Sep 25 12:28:09 GMT 2025","Thu Sep 25 12:28:10 GMT 2025","432","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"passed","Thu Sep 25 12:28:13 GMT 2025","Thu Sep 25 12:28:14 GMT 2025","854","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
"passed","Thu Sep 25 12:29:49 GMT 2025","Thu Sep 25 12:30:29 GMT 2025","39723","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidate","Проверка успешного добавления Кандидата",""
"passed","Thu Sep 25 12:28:21 GMT 2025","Thu Sep 25 12:28:25 GMT 2025","4134","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","createTest_quickAction_opensModal","should open the ""Create Test"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 12:28:39 GMT 2025","Thu Sep 25 12:28:41 GMT 2025","2610","","Login tests","","tests.authandregistration.LoginTests","emptyFields_showRequiredErrors","SS-T62: Пустые поля при логине → обязательные поля",""
"passed","Thu Sep 25 12:33:29 GMT 2025","Thu Sep 25 12:33:36 GMT 2025","7370","","tests.passingtests.TestPassingTests","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"passed","Thu Sep 25 12:28:05 GMT 2025","Thu Sep 25 12:28:06 GMT 2025","882","","tests.questiontests.QuestionsApiTests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Создание вопроса: 201 + схема",""
"passed","Thu Sep 25 12:33:03 GMT 2025","Thu Sep 25 12:33:08 GMT 2025","4789","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Создание теста с пустым именем показывает ошибку",""
"passed","Thu Sep 25 12:28:09 GMT 2025","Thu Sep 25 12:28:09 GMT 2025","427","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Thu Sep 25 12:28:18 GMT 2025","Thu Sep 25 12:28:18 GMT 2025","401","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestWithoutName","Негативный сценарий: создание теста без имени",""
"passed","Thu Sep 25 12:28:17 GMT 2025","Thu Sep 25 12:28:21 GMT 2025","3953","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","recentActivity_list_isVisible_andHasItems","should display the list of recent activities",""
"passed","Thu Sep 25 12:32:13 GMT 2025","Thu Sep 25 12:32:21 GMT 2025","8203","","tests.settings.SettingsTests","","tests.settings.SettingsTests","changeRole","Change role",""
"passed","Thu Sep 25 12:31:12 GMT 2025","Thu Sep 25 12:31:58 GMT 2025","46661","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addExistingCandidateError","Проверка невозможности добавления кандидата с уже существующим емейлом",""
"passed","Thu Sep 25 12:28:12 GMT 2025","Thu Sep 25 12:28:13 GMT 2025","866","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Редактирование теста: изменение проходного балла",""
"passed","Thu Sep 25 12:28:12 GMT 2025","Thu Sep 25 12:28:17 GMT 2025","4835","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","addCandidate_quickAction_opensModal","should open the ""Add Candidate"" modal upon clicking the quick action button",""
"passed","Thu Sep 25 12:28:32 GMT 2025","Thu Sep 25 12:28:36 GMT 2025","3760","","Login tests","","tests.authandregistration.LoginTests","wrongLogin_showsErrorToast","SS-T31: Неверный логин → toast 'Ошибка входа'",""
"passed","Thu Sep 25 12:32:29 GMT 2025","Thu Sep 25 12:32:37 GMT 2025","8132","","tests.settings.SettingsTests","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Thu Sep 25 12:28:16 GMT 2025","Thu Sep 25 12:28:16 GMT 2025","869","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestName","Редактирование теста: изменение названия",""
"passed","Thu Sep 25 12:29:08 GMT 2025","Thu Sep 25 12:29:49 GMT 2025","40307","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","unsuccessfulBulkAssigningTests","Назначение тестов более 500 кандидатам с неуспешным результатом",""
"passed","Thu Sep 25 12:32:59 GMT 2025","Thu Sep 25 12:33:03 GMT 2025","3393","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestButtonIsVisible","Кнопка 'Создать тест' отображается",""
"passed","Thu Sep 25 12:32:52 GMT 2025","Thu Sep 25 12:32:56 GMT 2025","4260","","tests.managetests.CreateTestUiTests","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","Модальное окно 'Создать тест' открывается после клика",""
"passed","Thu Sep 25 12:28:10 GMT 2025","Thu Sep 25 12:28:11 GMT 2025","422","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Thu Sep 25 12:28:11 GMT 2025","Thu Sep 25 12:28:11 GMT 2025","498","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Thu Sep 25 12:28:14 GMT 2025","Thu Sep 25 12:28:15 GMT 2025","440","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Позитивный сценарий: успешное создание теста",""
"passed","Thu Sep 25 12:28:13 GMT 2025","Thu Sep 25 12:28:13 GMT 2025","861","","tests.managetests.CreateTestApiTests","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Редактирование теста: изменение имени и описания",""
