"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 08 11:29:14 UTC 2025","Wed Oct 08 11:29:16 UTC 2025","2465","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [6] пробел в local-part",""
"passed","Wed Oct 08 11:24:56 UTC 2025","Wed Oct 08 11:24:59 UTC 2025","3022","","Update user role (Settings(API)","","tests.users.UpdateUserRoleTests","updateRole_returns200","Users: update role",""
"broken","Wed Oct 08 11:34:39 UTC 2025","Wed Oct 08 11:35:14 UTC 2025","34302","","Прохождение тестов","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Wed Oct 08 11:31:36 UTC 2025","Wed Oct 08 11:31:40 UTC 2025","4333","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","cannotDeleteOwnUser","Cannot delete own user (Delete disabled)",""
"passed","Wed Oct 08 11:33:03 UTC 2025","Wed Oct 08 11:33:09 UTC 2025","5316","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","editTestName_success","Edit test name: name is updated and shown in header",""
"broken","Wed Oct 08 11:34:05 UTC 2025","Wed Oct 08 11:34:39 UTC 2025","33901","","Assign Test UI Tests","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Assign Test to Candidate: positive scenario → test is assigned to candidate and appears in the list",""
"passed","Wed Oct 08 11:25:08 UTC 2025","Wed Oct 08 11:25:10 UTC 2025","2397","","Register user (Settings(API)","","tests.users.RegisterUserTests","registerUser_returns201","Users: register",""
"passed","Wed Oct 08 11:24:38 UTC 2025","Wed Oct 08 11:24:40 UTC 2025","1193","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Edit test: change time limit",""
"passed","Wed Oct 08 11:25:12 UTC 2025","Wed Oct 08 11:27:37 UTC 2025","144472","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectAlreadyRegisteredEmailAfterCode_SS_T14","SS-T14 | [NEG] Registration — E-mail already registered (error after code) / E-mail уже зарегистрирован — ошибка после кода",""
"passed","Wed Oct 08 11:24:37 UTC 2025","Wed Oct 08 11:24:38 UTC 2025","637","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Wed Oct 08 11:25:00 UTC 2025","Wed Oct 08 11:25:03 UTC 2025","3548","","Block & unblock user (Settings(API)","","tests.users.UpdateUserActiveTests","block_then_unblock_returns200","Users: block & unblock",""
"passed","Wed Oct 08 11:24:49 UTC 2025","Wed Oct 08 11:24:52 UTC 2025","3052","","Reset user password (Settings(API)","","tests.users.ResetUserPasswordTests","resetPassword_returns200","Users: reset password",""
"passed","Wed Oct 08 11:24:40 UTC 2025","Wed Oct 08 11:24:41 UTC 2025","1232","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Edit test: change name and description",""
"failed","Wed Oct 08 11:24:23 UTC 2025","Wed Oct 08 11:24:25 UTC 2025","1644","","Generate Questions via API","","tests.questiontests.GenerateQuestionsApiTests","generateQuestions_success","Positive scenario: generate questions with valid data",""
"skipped","Wed Oct 08 11:29:49 UTC 2025","Wed Oct 08 11:29:51 UTC 2025","2083","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [21] двойная точка между метками",""
"passed","Wed Oct 08 11:24:22 UTC 2025","Wed Oct 08 11:24:23 UTC 2025","1176","","Questions API Tests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Create Question: successful creation with valid data",""
"broken","Wed Oct 08 11:35:14 UTC 2025","Wed Oct 08 11:35:48 UTC 2025","33807","","Прохождение тестов","","tests.passingtests.TestPassingTests","assignTestViaTests","Verify successful assignment of the test 'Тест Прохождение тестов с одной опцией' to a candidate",""
"passed","Wed Oct 08 11:24:47 UTC 2025","Wed Oct 08 11:24:48 UTC 2025","603","","Create tests via API","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Positive scenario: создание теста без описания",""
"passed","Wed Oct 08 11:32:43 UTC 2025","Wed Oct 08 11:32:47 UTC 2025","4656","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","openEditWindowTest","Open Edit Test Window",""
"passed","Wed Oct 08 11:27:54 UTC 2025","Wed Oct 08 11:27:57 UTC 2025","2541","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidFullName_SS_T27","SS-T27 | [NEG] Registration — Invalid full name; no confirmation / Невалидное «Имя Фамилия» — подтверждение не стартует [2] 1 латиница",""
"skipped","Wed Oct 08 11:29:27 UTC 2025","Wed Oct 08 11:29:29 UTC 2025","2126","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [12] дефис в конце метки домена",""
"passed","Wed Oct 08 11:29:34 UTC 2025","Wed Oct 08 11:29:36 UTC 2025","2520","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [15] запятая вместо точки в домене",""
"passed","Wed Oct 08 11:33:41 UTC 2025","Wed Oct 08 11:33:45 UTC 2025","3992","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","'Create Test' modal appears after clicking the button",""
"passed","Wed Oct 08 11:32:27 UTC 2025","Wed Oct 08 11:32:34 UTC 2025","7774","","Settings tests UI","","tests.settings.SettingsTests","createUser","Create user",""
"passed","Wed Oct 08 11:30:37 UTC 2025","Wed Oct 08 11:30:43 UTC 2025","5777","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [1] MISSING_NAME",""
"passed","Wed Oct 08 11:29:44 UTC 2025","Wed Oct 08 11:29:46 UTC 2025","2502","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [19] полностью не-ASCII адрес (EAI)",""
"passed","Wed Oct 08 11:30:43 UTC 2025","Wed Oct 08 11:30:49 UTC 2025","5870","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [2] SHORT_NAME",""
"passed","Wed Oct 08 11:28:59 UTC 2025","Wed Oct 08 11:29:02 UTC 2025","2503","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidPasswords_SS_T29","SS-T29 | [NEG] Registration — Invalid password; registration not started / Невалидный пароль — регистрация не стартует [9] кириллица запрещена",""
"passed","Wed Oct 08 11:28:05 UTC 2025","Wed Oct 08 11:28:07 UTC 2025","2519","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidFullName_SS_T27","SS-T27 | [NEG] Registration — Invalid full name; no confirmation / Невалидное «Имя Фамилия» — подтверждение не стартует [6] trim→1 справа",""
"passed","Wed Oct 08 11:27:44 UTC 2025","Wed Oct 08 11:27:47 UTC 2025","2563","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidOrganizationName_SS_T28","SS-T28 | [NEG] Registration — Invalid organization name shows error / Невалидное «Название организации» — ошибка показывается [4] только пробелы",""
"passed","Wed Oct 08 11:28:50 UTC 2025","Wed Oct 08 11:28:53 UTC 2025","2481","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidPasswords_SS_T29","SS-T29 | [NEG] Registration — Invalid password; registration not started / Невалидный пароль — регистрация не стартует [5] 8 пробелов",""
"passed","Wed Oct 08 11:28:09 UTC 2025","Wed Oct 08 11:28:12 UTC 2025","2557","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidFullName_SS_T27","SS-T27 | [NEG] Registration — Invalid full name; no confirmation / Невалидное «Имя Фамилия» — подтверждение не стартует [8] 1 цифра",""
"passed","Wed Oct 08 11:24:15 UTC 2025","Wed Oct 08 11:24:16 UTC 2025","1057","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"passed","Wed Oct 08 11:24:27 UTC 2025","Wed Oct 08 11:24:28 UTC 2025","672","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithAbsentName","Check candidates import when name is absent",""
"passed","Wed Oct 08 11:29:04 UTC 2025","Wed Oct 08 11:29:07 UTC 2025","2481","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [2] нет домена",""
"passed","Wed Oct 08 11:24:26 UTC 2025","Wed Oct 08 11:24:27 UTC 2025","763","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithDuplicatedEmails","Check candidates import with duplicated emails",""
"passed","Wed Oct 08 11:27:37 UTC 2025","Wed Oct 08 11:27:39 UTC 2025","2488","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidOrganizationName_SS_T28","SS-T28 | [NEG] Registration — Invalid organization name shows error / Невалидное «Название организации» — ошибка показывается [1] пусто",""
"failed","Wed Oct 08 11:33:25 UTC 2025","Wed Oct 08 11:33:40 UTC 2025","15383","","Generate Questions UI Tests","","tests.managetests.GenerateQuestionsUiTests","generateQuestions_success","Generate Questions: positive scenario → questions are generated and appear in the list",""
"passed","Wed Oct 08 11:28:07 UTC 2025","Wed Oct 08 11:28:09 UTC 2025","2411","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidFullName_SS_T27","SS-T27 | [NEG] Registration — Invalid full name; no confirmation / Невалидное «Имя Фамилия» — подтверждение не стартует [7] NBSP (U+00A0)",""
"passed","Wed Oct 08 11:31:50 UTC 2025","Wed Oct 08 11:31:55 UTC 2025","4642","","Settings Negative Tests UI","","tests.settings.SettingsNegativeTests","emptyPasswordField","Empty Password field when adding a user",""
"passed","Wed Oct 08 11:24:53 UTC 2025","Wed Oct 08 11:24:56 UTC 2025","3001","","Register duplicate user (Settings(API)","","tests.users.RegisterUserNegativeTests","registerDuplicate_returns400","Users: register duplicate -> 400",""
"passed","Wed Oct 08 11:29:07 UTC 2025","Wed Oct 08 11:29:09 UTC 2025","2494","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [3] нет TLD",""
"passed","Wed Oct 08 11:33:56 UTC 2025","Wed Oct 08 11:34:00 UTC 2025","4066","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Create Test with empty name: negative scenario → error message appears",""
"passed","Wed Oct 08 11:30:49 UTC 2025","Wed Oct 08 11:30:55 UTC 2025","5714","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Wed Oct 08 11:34:00 UTC 2025","Wed Oct 08 11:34:05 UTC 2025","4412","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTest","Create Test: positive scenario → test is created successfully",""
"passed","Wed Oct 08 11:24:37 UTC 2025","Wed Oct 08 11:24:37 UTC 2025","584","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"skipped","Wed Oct 08 11:28:57 UTC 2025","Wed Oct 08 11:28:59 UTC 2025","2164","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidPasswords_SS_T29","SS-T29 | [NEG] Registration — Invalid password; registration not started / Невалидный пароль — регистрация не стартует [8] внутренние пробелы",""
"passed","Wed Oct 08 11:24:16 UTC 2025","Wed Oct 08 11:24:17 UTC 2025","651","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getRecentActivityListTest","Проверка получения списка недавней активности",""
"passed","Wed Oct 08 11:32:17 UTC 2025","Wed Oct 08 11:32:27 UTC 2025","9516","","Settings tests UI","","tests.settings.SettingsTests","blockActivate","Block / Activate user",""
"passed","Wed Oct 08 11:24:39 UTC 2025","Wed Oct 08 11:24:43 UTC 2025","4334","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","recentActivity_list_isVisible_andHasItems","should display the list of recent activities",""
"passed","Wed Oct 08 11:32:58 UTC 2025","Wed Oct 08 11:33:03 UTC 2025","5181","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","editTestPassingScore_success","Edit test passing score: value is updated and success message is shown",""
"skipped","Wed Oct 08 11:29:29 UTC 2025","Wed Oct 08 11:29:31 UTC 2025","2088","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidEmail_SS_T26","SS-T26 | [NEG] Registration — Incorrect e-mail; confirmation not started / Некорректный e-mail — подтверждение не стартует [13] двойная точка в local-part",""
