"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 07 10:49:35 UTC 2025","Tue Oct 07 10:49:35 UTC 2025","0","","Add Question via UI","","tests.managetests.AddQuestionUiTests","","Add Question via UI",""
"passed","Tue Oct 07 10:49:44 UTC 2025","Tue Oct 07 10:49:45 UTC 2025","891","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Edit test: change time limit",""
"passed","Tue Oct 07 10:49:38 UTC 2025","Tue Oct 07 10:49:38 UTC 2025","404","","Login tests","","tests.auth.LoginTests","unsuccessfulLogin","Check unsuccessful login",""
"passed","Tue Oct 07 10:49:54 UTC 2025","Tue Oct 07 10:49:57 UTC 2025","2527","","Block & unblock user (Settings(API)","","tests.users.UpdateUserActiveTests","block_then_unblock_returns200","Users: block & unblock",""
"passed","Tue Oct 07 10:49:23 UTC 2025","Tue Oct 07 10:49:25 UTC 2025","2344","","Проверка запросов GET /candidates","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"failed","Tue Oct 07 10:49:17 UTC 2025","Tue Oct 07 10:49:19 UTC 2025","1529","","Generate Questions via API","","tests.questiontests.GenerateQuestionsApiTests","generateQuestions_success","Positive scenario: generate questions with valid data",""
"broken","Tue Oct 07 10:49:33 UTC 2025","Tue Oct 07 10:49:33 UTC 2025","0","","Auth/Login UI — Login & Logout / Авторизация и выход","","tests.authandregistration.LoginTests","","Auth/Login UI — Login & Logout / Авторизация и выход",""
"broken","Tue Oct 07 10:49:34 UTC 2025","Tue Oct 07 10:49:34 UTC 2025","1","","Масовый импорт кандидатов","","tests.candidates.CandidatesBulkImportTests","","Масовый импорт кандидатов",""
"passed","Tue Oct 07 10:49:15 UTC 2025","Tue Oct 07 10:49:16 UTC 2025","832","","Questions API Tests","","tests.questiontests.QuestionsApiTests","createQuestion_missingTestId_400","Create Question: missing testId results in 400 or 422",""
"passed","Tue Oct 07 10:50:00 UTC 2025","Tue Oct 07 10:50:01 UTC 2025","1708","","Register user (Settings(API)","","tests.users.RegisterUserTests","registerUser_returns201","Users: register",""
"broken","Tue Oct 07 10:49:33 UTC 2025","Tue Oct 07 10:49:33 UTC 2025","0","","Dashboard UI tests","","tests.dashboard.DashboardUiTests","","Dashboard UI tests",""
"passed","Tue Oct 07 10:49:39 UTC 2025","Tue Oct 07 10:49:40 UTC 2025","877","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestPassingScore","Edit test: change time limit",""
"passed","Tue Oct 07 10:49:42 UTC 2025","Tue Oct 07 10:49:42 UTC 2025","403","","Create tests via API","","tests.managetests.CreateTestApiTests","createTestSuccessfully","Positive scenario: successful test creation",""
"broken","Tue Oct 07 10:49:33 UTC 2025","Tue Oct 07 10:49:33 UTC 2025","0","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","","Масовое назначение тестов кандидатам",""
"passed","Tue Oct 07 10:49:46 UTC 2025","Tue Oct 07 10:49:48 UTC 2025","2287","","Reset user password (Settings(API)","","tests.users.ResetUserPasswordTests","resetPassword_returns200","Users: reset password",""
"passed","Tue Oct 07 10:49:51 UTC 2025","Tue Oct 07 10:49:54 UTC 2025","2125","","Update user role (Settings(API)","","tests.users.UpdateUserRoleTests","updateRole_returns200","Users: update role",""
"passed","Tue Oct 07 10:49:11 UTC 2025","Tue Oct 07 10:49:12 UTC 2025","791","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getDashboardStatsTest","Проверка получения статистики дашборда",""
"broken","Tue Oct 07 10:49:35 UTC 2025","Tue Oct 07 10:49:35 UTC 2025","0","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","","Create Test UI Tests",""
"passed","Tue Oct 07 10:49:22 UTC 2025","Tue Oct 07 10:49:22 UTC 2025","515","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithAbsentRow","Check candidates import when row has no values",""
"broken","Tue Oct 07 10:49:36 UTC 2025","Tue Oct 07 10:49:36 UTC 2025","0","","Прохождение тестов","","tests.passingtests.TestPassingTests","","Прохождение тестов",""
"passed","Tue Oct 07 10:49:21 UTC 2025","Tue Oct 07 10:49:22 UTC 2025","457","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidates","Check fully successful candidates import",""
"passed","Tue Oct 07 10:49:45 UTC 2025","Tue Oct 07 10:49:46 UTC 2025","424","","Create tests via API","","tests.managetests.CreateTestApiTests","createTestWithoutName","Negative scenario: создание теста без названия",""
"passed","Tue Oct 07 10:49:16 UTC 2025","Tue Oct 07 10:49:17 UTC 2025","849","","Questions API Tests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Create Question: successful creation with valid data",""
"passed","Tue Oct 07 10:49:26 UTC 2025","Tue Oct 07 10:49:26 UTC 2025","439","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidateWithoutData","Check error response when creating a new candidate without data",""
"broken","Tue Oct 07 10:49:34 UTC 2025","Tue Oct 07 10:49:34 UTC 2025","0","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","","Добавление нового кандидата",""
"passed","Tue Oct 07 10:49:49 UTC 2025","Tue Oct 07 10:49:51 UTC 2025","2108","","Register duplicate user (Settings(API)","","tests.users.RegisterUserNegativeTests","registerDuplicate_returns400","Users: register duplicate -> 400",""
"broken","Tue Oct 07 10:49:35 UTC 2025","Tue Oct 07 10:49:35 UTC 2025","0","","Assign Test UI Tests","","tests.managetests.AssignTestUiTests","","Assign Test UI Tests",""
"passed","Tue Oct 07 10:49:13 UTC 2025","Tue Oct 07 10:49:15 UTC 2025","2059","","Managing sessions via API","","tests.sessiontests.SessionsApiTests","createSession_success","Assign test to candidate: successful session creation",""
"passed","Tue Oct 07 10:49:20 UTC 2025","Tue Oct 07 10:49:21 UTC 2025","557","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithAbsentEmail","Check candidates import when email is absent",""
"passed","Tue Oct 07 10:49:27 UTC 2025","Tue Oct 07 10:49:37 UTC 2025","10387","","Check GET /candidates/export requests","","tests.candidates.ExportCandidatesTests","exportCandidates","Check successful candidates export",""
"broken","Tue Oct 07 10:49:34 UTC 2025","Tue Oct 07 10:49:34 UTC 2025","0","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","","Edit Test UI Tests",""
"passed","Tue Oct 07 10:49:12 UTC 2025","Tue Oct 07 10:49:12 UTC 2025","465","","API-тесты для страницы Dashboard","","tests.dashboard.DashboardApiTests","getRecentActivityListTest","Проверка получения списка недавней активности",""
"passed","Tue Oct 07 10:49:38 UTC 2025","Tue Oct 07 10:49:39 UTC 2025","481","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
"passed","Tue Oct 07 10:49:42 UTC 2025","Tue Oct 07 10:49:43 UTC 2025","831","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestIsActive","Edit test: change isActive to true",""
"passed","Tue Oct 07 10:49:57 UTC 2025","Tue Oct 07 10:49:59 UTC 2025","2103","","Delete user (Settings(API))","","tests.users.DeleteUserTests","deleteUser_returns200","Users: delete",""
"passed","Tue Oct 07 10:49:40 UTC 2025","Tue Oct 07 10:49:41 UTC 2025","1114","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestNameAndDescription","Edit test: change name and description",""
"passed","Tue Oct 07 10:49:19 UTC 2025","Tue Oct 07 10:49:20 UTC 2025","618","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithDuplicatedEmails","Check candidates import with duplicated emails",""
"passed","Tue Oct 07 10:49:43 UTC 2025","Tue Oct 07 10:49:44 UTC 2025","852","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestName","Edit test: change name",""
"broken","Tue Oct 07 10:49:34 UTC 2025","Tue Oct 07 10:49:34 UTC 2025","0","","Settings tests UI","","tests.settings.SettingsTests","","Settings tests UI",""
"passed","Tue Oct 07 10:49:45 UTC 2025","Tue Oct 07 10:49:45 UTC 2025","414","","Create tests via API","","tests.managetests.CreateTestApiTests","createTestWithoutDescription","Positive scenario: создание теста без описания",""
"passed","Tue Oct 07 10:49:25 UTC 2025","Tue Oct 07 10:49:26 UTC 2025","408","","Проверка запросов POST /candidates","","tests.candidates.CreateNewCandidateTests","createNewCandidate","Check creating a new candidate",""
"passed","Tue Oct 07 10:49:41 UTC 2025","Tue Oct 07 10:49:42 UTC 2025","835","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestDescription","Edit test: change description",""
"broken","Tue Oct 07 10:49:35 UTC 2025","Tue Oct 07 10:49:35 UTC 2025","0","","Generate Questions UI Tests","","tests.managetests.GenerateQuestionsUiTests","","Generate Questions UI Tests",""
"broken","Tue Oct 07 10:49:33 UTC 2025","Tue Oct 07 10:49:33 UTC 2025","0","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","","Auth/Registration UI — Positive & Negative / Позитив и негатив",""
"passed","Tue Oct 07 10:49:21 UTC 2025","Tue Oct 07 10:49:21 UTC 2025","506","","Check POST /candidates/import requests","","tests.candidates.ImportCandidatesTests","importCandidatesWithAbsentName","Check candidates import when name is absent",""
