"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 12:04:24 UTC 2025","Fri Oct 17 12:04:25 UTC 2025","829","","Questions API Tests","","tests.questiontests.QuestionsApiTests","createQuestion_success","Create Question: successful creation with valid data",""
"passed","Fri Oct 17 12:05:02 UTC 2025","Fri Oct 17 12:05:03 UTC 2025","809","","Auth/Logout API Tests","","tests.auth.LogoutTests","ssT69_logout_makes_dashboard_unavailable","[SS-T69][ACC] Auth/Logout — Logout делает Dashboard недоступной → 401",""
"passed","Fri Oct 17 12:19:00 UTC 2025","Fri Oct 17 12:19:05 UTC 2025","5330","","Create Test UI Tests","","tests.managetests.CreateTestUiTests","createTestModalAppearsAfterClick","'Create Test' modal appears after clicking the button",""
"passed","Fri Oct 17 12:17:08 UTC 2025","Fri Oct 17 12:17:15 UTC 2025","6957","","Add Question via UI","","tests.managetests.AddQuestionUiTests","addQuestion_success","Add Question: successful addition of a question to a test",""
"passed","Fri Oct 17 12:15:26 UTC 2025","Fri Oct 17 12:15:29 UTC 2025","3020","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidPasswords_SS_T29","SS-T29 | [NEG] Registration — Invalid password; registration not started / Невалидный пароль — регистрация не стартует [5] 8 пробелов",""
"passed","Fri Oct 17 12:15:36 UTC 2025","Fri Oct 17 12:15:40 UTC 2025","3042","","Auth/Registration UI — Positive & Negative / Позитив и негатив","","tests.authandregistration.RegistrationTests","shouldRejectInvalidPasswords_SS_T29","SS-T29 | [NEG] Registration — Invalid password; registration not started / Невалидный пароль — регистрация не стартует [9] кириллица запрещена",""
"passed","Fri Oct 17 12:07:27 UTC 2025","Fri Oct 17 12:07:37 UTC 2025","9995","","Масовый импорт кандидатов","","tests.candidates.CandidatesBulkImportTests","unsuccessfulImportCandidatesTest","Неуспешный импорт кандидатов из Excel: отсутсвует имя, некоректный email",""
"passed","Fri Oct 17 12:09:33 UTC 2025","Fri Oct 17 12:09:39 UTC 2025","5192","","Sidebar navigation Web-tests","","tests.sidebar.SidebarNavigationTests","shouldNavigateToTests","should navigate to Tests and highlight the menu item",""
"passed","Fri Oct 17 12:10:40 UTC 2025","Fri Oct 17 12:10:49 UTC 2025","8935","","Tests passing","","tests.passingtests.TestPassingTests","passTest","Successful filling and submitting the test 'With one option'",""
"passed","Fri Oct 17 12:04:41 UTC 2025","Fri Oct 17 12:04:49 UTC 2025","8617","","Auth/Registration API Tests","","tests.registration.RegistrationApiTests","ssT11_success_registration_imap_201","[SS-T11][POS] Auth/Registration — Успешная регистрация → 201 (IMAP)",""
"passed","Fri Oct 17 12:04:53 UTC 2025","Fri Oct 17 12:04:54 UTC 2025","844","","Create tests via API","","tests.managetests.CreateTestApiTests","updateTestIsActive","Edit test: change isActive to true",""
"passed","Fri Oct 17 12:10:24 UTC 2025","Fri Oct 17 12:10:31 UTC 2025","6674","","Tests passing","","tests.passingtests.TestPassingTests","getLinkToTest","Get link to the test and verify that link is copied to clipboard",""
"passed","Fri Oct 17 12:04:26 UTC 2025","Fri Oct 17 12:04:31 UTC 2025","4949","","Auth/Registration API Tests","","tests.registration.RegistrationApiTests","ssT83_invalid_verification_code_409","[SS-T83][NEG] Auth/Registration — Неверный/просроченный код → 409",""
"passed","Fri Oct 17 12:04:18 UTC 2025","Fri Oct 17 12:04:19 UTC 2025","399","","Users Negative API Tests","","tests.users.UsersNegativeApiTests","registerEmptyEmail","Register: empty email returns 400",""
"passed","Fri Oct 17 12:18:40 UTC 2025","Fri Oct 17 12:18:46 UTC 2025","6240","","Edit Test UI Tests","","tests.managetests.EditTestUiTests","editPassingScore_commaIsRejected","Edit Passing Score: comma cannot be entered",""
"passed","Fri Oct 17 12:04:01 UTC 2025","Fri Oct 17 12:04:03 UTC 2025","2157","","Delete user (Settings(API))","","tests.users.DeleteUserTests","deleteUser_returns200","Users: delete",""
"passed","Fri Oct 17 12:04:15 UTC 2025","Fri Oct 17 12:04:16 UTC 2025","835","","Users Negative API Tests","","tests.users.UsersNegativeApiTests","cannotChangeOwnRole","Cannot change own role",""
